ScoreChangeEvent{type=INSERT, score=Score{id='user_11', score=10.00, lastUpdate=1759138315643, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_12', score=15.00, lastUpdate=1759138315643, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_13', score=17.00, lastUpdate=1759138315643, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_14', score=17.00, lastUpdate=1759138315643, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_15', score=14.00, lastUpdate=1759138315643, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_19', score=15.00, lastUpdate=1759138315643, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_3', score=20.00, lastUpdate=1759138315643, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_4', score=11.00, lastUpdate=1759138315643, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_5', score=14.00, lastUpdate=1759138315643, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_8', score=10.00, lastUpdate=1759138315643, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_15', score=14.00, lastUpdate=1759138315644, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_4', score=11.00, lastUpdate=1759138315644, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_8', score=10.00, lastUpdate=1759138315644, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_1', score=28.00, lastUpdate=1759138315644, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_16', score=29.00, lastUpdate=1759138315644, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_7', score=42.00, lastUpdate=1759138315644, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_16', score=29.00, lastUpdate=1759138315645, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_8', score=43.00, lastUpdate=1759138315645, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_14', score=41.00, lastUpdate=1759138315646, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_3', score=41.00, lastUpdate=1759138315646, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_16', score=68.00, lastUpdate=1759138315646, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_9', score=78.00, lastUpdate=1759138315646, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_12', score=70.00, lastUpdate=1759138315647, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_9', score=78.00, lastUpdate=1759138315647, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_3', score=87.00, lastUpdate=1759138315647, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_6', score=95.00, lastUpdate=1759138315647, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_5', score=99.00, lastUpdate=1759138315648, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_9', score=118.00, lastUpdate=1759138315648, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_1', score=103.00, lastUpdate=1759138315649, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_5', score=126.00, lastUpdate=1759138315649, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_16', score=129.00, lastUpdate=1759138315650, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_1', score=135.00, lastUpdate=1759138315650, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_11', score=135.00, lastUpdate=1759138315651, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_16', score=163.00, lastUpdate=1759138315651, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_1', score=144.00, lastUpdate=1759138315652, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_6', score=153.00, lastUpdate=1759138315652, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_11', score=167.00, lastUpdate=1759138315652, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_20', score=166.00, lastUpdate=1759138315652, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_11', score=167.00, lastUpdate=1759138315653, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_1', score=179.00, lastUpdate=1759138315653, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_1', score=179.00, lastUpdate=1759138315654, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_3', score=184.00, lastUpdate=1759138315654, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_2', score=197.00, lastUpdate=1759138315654, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_4', score=196.00, lastUpdate=1759138315654, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_4', score=196.00, lastUpdate=1759138315655, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_3', score=225.00, lastUpdate=1759138315655, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_2', score=238.00, lastUpdate=1759138315658, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_6', score=258.00, lastUpdate=1759138315658, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_6', score=258.00, lastUpdate=1759138315659, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_8', score=267.00, lastUpdate=1759138315659, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_10', score=286.00, lastUpdate=1759138315659, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_4', score=290.00, lastUpdate=1759138315659, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_16', score=289.00, lastUpdate=1759138315660, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_11', score=315.00, lastUpdate=1759138315660, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_3', score=298.00, lastUpdate=1759138315661, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_4', score=300.00, lastUpdate=1759138315661, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_15', score=310.00, lastUpdate=1759138315661, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_16', score=312.00, lastUpdate=1759138315661, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_15', score=310.00, lastUpdate=1759138315662, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_3', score=331.00, lastUpdate=1759138315662, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_20', score=344.00, lastUpdate=1759138315664, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_3', score=336.00, lastUpdate=1759138315664, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_15', score=364.00, lastUpdate=1759138315664, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_4', score=359.00, lastUpdate=1759138315664, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_9', score=390.00, lastUpdate=1759138315668, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_3', score=424.00, lastUpdate=1759138315668, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_3', score=429.00, lastUpdate=1759138315670, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_14', score=449.00, lastUpdate=1759138315670, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_10', score=460.00, lastUpdate=1759138315672, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_20', score=469.00, lastUpdate=1759138315672, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_14', score=469.00, lastUpdate=1759138315673, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_8', score=497.00, lastUpdate=1759138315673, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_7', score=520.00, lastUpdate=1759138315675, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_3', score=538.00, lastUpdate=1759138315675, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_15', score=532.00, lastUpdate=1759138315676, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_8', score=534.00, lastUpdate=1759138315676, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_14', score=542.00, lastUpdate=1759138315676, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_7', score=538.00, lastUpdate=1759138315676, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_14', score=542.00, lastUpdate=1759138315677, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_1', score=560.00, lastUpdate=1759138315677, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_7', score=560.00, lastUpdate=1759138315678, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_14', score=566.00, lastUpdate=1759138315678, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_14', score=566.00, lastUpdate=1759138315679, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_3', score=573.00, lastUpdate=1759138315679, previousScore=null}}
